text,label
DELETE FROM users WHERE department_id = '2024-01-01';,sql
"SELECT created_at, price FROM products ORDER BY price DESC;",sql
SELECT * FROM employees;,sql
"INSERT INTO products (name, department_id, email) VALUES ('1', 'john@example.com', '2024-01-01');",sql
SELECT * FROM categories;,sql
"In a galaxy far, far away...",non-sql
Access denied. Contact your administrator.,non-sql
Congratulations! You've won a free vacation.,non-sql
Follow the yellow brick road.,non-sql
DELETE FROM employees WHERE id = 'John Doe';,sql
INSERT INTO categories (id) VALUES ('2024-01-01');,sql
SELECT COUNT(*) FROM users;,sql
"Buy one, get one free! Limited time offer.",non-sql
Artificial intelligence is transforming industries.,non-sql
"SELECT email, price, created_at FROM categories ORDER BY price DESC;",sql
SELECT COUNT(*) FROM products;,sql
Baking the perfect bread takes practice.,non-sql
SELECT id FROM users WHERE created_at = 'john@example.com';,sql
Follow the yellow brick road.,non-sql
"To be, or not to be, that is the question.",non-sql
The weather today is sunny with a chance of rain.,non-sql
SELECT * FROM departments;,sql
DELETE FROM categories WHERE price = '99.99';,sql
"SELECT orders.price, users.department_id FROM orders JOIN users ON orders.price = users.department_id;",sql
Healthy eating leads to a healthy life.,non-sql
DELETE FROM categories WHERE created_at = 'john@example.com';,sql
"SELECT price, created_at FROM products WHERE id = 'John Doe';",sql
UPDATE departments SET created_at = 'john@example.com' WHERE created_at = 'Admin';,sql
"SELECT categories.email, orders.id FROM categories JOIN orders ON categories.email = orders.id;",sql
UPDATE employees SET id = '2024-01-01' WHERE id = 'Completed';,sql
Welcome to the world of tomorrow!,non-sql
All that glitters is not gold.,non-sql
SELECT * FROM departments;,sql
DELETE FROM products WHERE price = '1';,sql
The quick brown fox jumps over the lazy dog.,non-sql
The quick brown fox jumps over the lazy dog.,non-sql
"SELECT categories.price, products.name FROM categories JOIN products ON categories.price = products.name;",sql
Congratulations! You've won a free vacation.,non-sql
"To be, or not to be, that is the question.",non-sql
Call me Ishmael.,non-sql
Access denied. Contact your administrator.,non-sql
"In a galaxy far, far away...",non-sql
The quick brown fox jumps over the lazy dog.,non-sql
INSERT INTO products (id) VALUES ('99.99');,sql
The weather today is sunny with a chance of rain.,non-sql
UPDATE products SET price = 'John Doe' WHERE price = 'Admin';,sql
UPDATE products SET name = '99.99' WHERE name = 'Admin';,sql
Learning Python is fun and rewarding.,non-sql
Access denied. Contact your administrator.,non-sql
SELECT * FROM departments;,sql
All that glitters is not gold.,non-sql
"Buy one, get one free! Limited time offer.",non-sql
SELECT * FROM users;,sql
"Buy one, get one free! Limited time offer.",non-sql
"SELECT price, created_at, id FROM orders ORDER BY department_id DESC;",sql
Error 404: Page not found.,non-sql
SELECT COUNT(*) FROM orders;,sql
"Once upon a time, there was a brave knight.",non-sql
Learning Python is fun and rewarding.,non-sql
INSERT INTO products (created_at) VALUES ('1');,sql
Welcome to the world of tomorrow!,non-sql
"SELECT price, created_at FROM categories WHERE price = '3';",sql
The quick brown fox jumps over the lazy dog.,non-sql
Artificial intelligence is transforming industries.,non-sql
Artificial intelligence is transforming industries.,non-sql
Error 404: Page not found.,non-sql
Follow the yellow brick road.,non-sql
Upcoming events include a concert and a festival.,non-sql
SELECT * FROM employees;,sql
SELECT department_id FROM users ORDER BY department_id DESC;,sql
SELECT id FROM departments WHERE department_id = '99.99';,sql
All that glitters is not gold.,non-sql
SELECT * FROM users;,sql
"SELECT employees.id, orders.department_id FROM employees JOIN orders ON employees.id = orders.department_id;",sql
All that glitters is not gold.,non-sql
SELECT COUNT(*) FROM users;,sql
"INSERT INTO categories (name, created_at) VALUES ('2024-01-01', 'John Doe');",sql
SELECT * FROM users;,sql
Error 404: Page not found.,non-sql
SELECT id FROM orders ORDER BY id DESC;,sql
INSERT INTO employees (created_at) VALUES ('3');,sql
Healthy eating leads to a healthy life.,non-sql
All that glitters is not gold.,non-sql
"Once upon a time, there was a brave knight.",non-sql
SELECT COUNT(*) FROM orders;,sql
Artificial intelligence is transforming industries.,non-sql
The mitochondrion is the powerhouse of the cell.,non-sql
UPDATE orders SET email = '99.99' WHERE email = 'Completed';,sql
SELECT department_id FROM employees ORDER BY price DESC;,sql
DELETE FROM categories WHERE price = '2024-01-01';,sql
Healthy eating leads to a healthy life.,non-sql
UPDATE orders SET name = 'John Doe' WHERE name = 'Active';,sql
Access denied. Contact your administrator.,non-sql
"SELECT name, id, email FROM categories ORDER BY price DESC;",sql
UPDATE orders SET department_id = '3' WHERE department_id = 'Active';,sql
Access denied. Contact your administrator.,non-sql
"INSERT INTO employees (id, name) VALUES ('john@example.com', '3');",sql
The mitochondrion is the powerhouse of the cell.,non-sql
The quick brown fox jumps over the lazy dog.,non-sql
Learning Python is fun and rewarding.,non-sql
SELECT * FROM departments;,sql
DELETE FROM products WHERE department_id = '2024-01-01';,sql
"SELECT department_id, name, price FROM employees ORDER BY email DESC;",sql
Upcoming events include a concert and a festival.,non-sql
Access denied. Contact your administrator.,non-sql
Access denied. Contact your administrator.,non-sql
Baking the perfect bread takes practice.,non-sql
The mitochondrion is the powerhouse of the cell.,non-sql
SELECT department_id FROM departments WHERE name = '2024-01-01';,sql
Artificial intelligence is transforming industries.,non-sql
"SELECT employees.name, users.created_at FROM employees JOIN users ON employees.name = users.created_at;",sql
Call me Ishmael.,non-sql
"SELECT created_at, price, name FROM categories WHERE department_id = 'John Doe';",sql
SELECT * FROM employees;,sql
Learning Python is fun and rewarding.,non-sql
SELECT * FROM categories;,sql
"SELECT employees.id, orders.name FROM employees JOIN orders ON employees.id = orders.name;",sql
Welcome to the world of tomorrow!,non-sql
SELECT email FROM employees ORDER BY department_id DESC;,sql
"INSERT INTO categories (department_id, created_at, email) VALUES ('John Doe', '1', 'John Doe');",sql
SELECT COUNT(*) FROM users;,sql
Learning Python is fun and rewarding.,non-sql
UPDATE products SET price = '3' WHERE price = 'Active';,sql
SELECT COUNT(*) FROM categories;,sql
"SELECT name, price, created_at FROM products WHERE email = '1';",sql
INSERT INTO categories (created_at) VALUES ('john@example.com');,sql
Access denied. Contact your administrator.,non-sql
SELECT * FROM employees;,sql
SELECT * FROM employees;,sql
All that glitters is not gold.,non-sql
Baking the perfect bread takes practice.,non-sql
"INSERT INTO departments (name, email) VALUES ('3', 'John Doe');",sql
DELETE FROM products WHERE department_id = '99.99';,sql
"SELECT id, created_at FROM categories ORDER BY email DESC;",sql
Healthy eating leads to a healthy life.,non-sql
Artificial intelligence is transforming industries.,non-sql
SELECT COUNT(*) FROM employees;,sql
The mitochondrion is the powerhouse of the cell.,non-sql
Error 404: Page not found.,non-sql
SELECT email FROM categories WHERE email = 'John Doe';,sql
"SELECT email, id, department_id FROM employees ORDER BY email DESC;",sql
Error 404: Page not found.,non-sql
"Buy one, get one free! Limited time offer.",non-sql
Error 404: Page not found.,non-sql
UPDATE orders SET price = '1' WHERE price = 'Active';,sql
"INSERT INTO categories (id, created_at, email) VALUES ('john@example.com', 'John Doe', 'john@example.com');",sql
"SELECT created_at, email, department_id FROM users ORDER BY id DESC;",sql
Congratulations! You've won a free vacation.,non-sql
"SELECT users.id, employees.email FROM users JOIN employees ON users.id = employees.email;",sql
DELETE FROM users WHERE id = '99.99';,sql
The mitochondrion is the powerhouse of the cell.,non-sql
"In a galaxy far, far away...",non-sql
UPDATE products SET price = '1' WHERE price = 'Active';,sql
INSERT INTO orders (id) VALUES ('99.99');,sql
SELECT * FROM departments;,sql
UPDATE products SET created_at = 'john@example.com' WHERE created_at = 'HR';,sql
Error 404: Page not found.,non-sql
"SELECT employees.name, users.name FROM employees JOIN users ON employees.name = users.name;",sql
"SELECT department_id, id, created_at FROM employees WHERE id = '2024-01-01';",sql
SELECT COUNT(*) FROM categories;,sql
"SELECT categories.name, products.price FROM categories JOIN products ON categories.name = products.price;",sql
UPDATE categories SET created_at = '2024-01-01' WHERE created_at = 'Active';,sql
SELECT COUNT(*) FROM products;,sql
SELECT email FROM categories WHERE price = 'john@example.com';,sql
SELECT COUNT(*) FROM orders;,sql
UPDATE categories SET id = '2024-01-01' WHERE id = 'Pending';,sql
"SELECT price, created_at FROM departments WHERE department_id = '3';",sql
Access denied. Contact your administrator.,non-sql
"Buy one, get one free! Limited time offer.",non-sql
UPDATE employees SET department_id = '3' WHERE department_id = 'HR';,sql
SELECT COUNT(*) FROM departments;,sql
DELETE FROM departments WHERE price = 'john@example.com';,sql
Artificial intelligence is transforming industries.,non-sql
DELETE FROM users WHERE price = '1';,sql
Follow the yellow brick road.,non-sql
Artificial intelligence is transforming industries.,non-sql
INSERT INTO users (email) VALUES ('3');,sql
"SELECT department_id, created_at, email FROM categories WHERE name = 'John Doe';",sql
UPDATE departments SET created_at = '3' WHERE created_at = 'Pending';,sql
All that glitters is not gold.,non-sql
"SELECT id, department_id FROM employees WHERE department_id = 'John Doe';",sql
"INSERT INTO employees (email, id, price) VALUES ('1', '99.99', '2024-01-01');",sql
Artificial intelligence is transforming industries.,non-sql
Congratulations! You've won a free vacation.,non-sql
DELETE FROM products WHERE price = 'John Doe';,sql
UPDATE orders SET email = 'John Doe' WHERE email = '1';,sql
SELECT created_at FROM categories WHERE name = '99.99';,sql
Error 404: Page not found.,non-sql
SELECT * FROM employees;,sql
SELECT COUNT(*) FROM departments;,sql
"SELECT email, price FROM orders ORDER BY department_id DESC;",sql
Access denied. Contact your administrator.,non-sql
SELECT * FROM products;,sql
"SELECT users.price, users.email FROM users JOIN users ON users.price = users.email;",sql
"SELECT email, id FROM employees ORDER BY email DESC;",sql
Healthy eating leads to a healthy life.,non-sql
SELECT id FROM orders WHERE name = '3';,sql
UPDATE employees SET price = '1' WHERE price = 'Active';,sql
SELECT * FROM users;,sql
SELECT COUNT(*) FROM departments;,sql
DELETE FROM categories WHERE name = '1';,sql
Learning Python is fun and rewarding.,non-sql
"SELECT categories.name, categories.department_id FROM categories JOIN categories ON categories.name = categories.department_id;",sql
"SELECT products.department_id, products.email FROM products JOIN products ON products.department_id = products.email;",sql
Follow the yellow brick road.,non-sql
Artificial intelligence is transforming industries.,non-sql
"SELECT price, created_at FROM departments WHERE name = '2024-01-01';",sql
SELECT * FROM departments;,sql
SELECT * FROM categories;,sql
"In a galaxy far, far away...",non-sql
SELECT COUNT(*) FROM categories;,sql
SELECT * FROM users;,sql
"To be, or not to be, that is the question.",non-sql
"SELECT users.created_at, users.department_id FROM users JOIN users ON users.created_at = users.department_id;",sql
All that glitters is not gold.,non-sql
Congratulations! You've won a free vacation.,non-sql
"SELECT users.id, departments.created_at FROM users JOIN departments ON users.id = departments.created_at;",sql
INSERT INTO products (email) VALUES ('1');,sql
SELECT COUNT(*) FROM users;,sql
SELECT * FROM employees;,sql
SELECT COUNT(*) FROM categories;,sql
Congratulations! You've won a free vacation.,non-sql
All that glitters is not gold.,non-sql
DELETE FROM employees WHERE created_at = 'John Doe';,sql
SELECT id FROM orders WHERE price = '99.99';,sql
The quick brown fox jumps over the lazy dog.,non-sql
Baking the perfect bread takes practice.,non-sql
INSERT INTO categories (email) VALUES ('2024-01-01');,sql
SELECT * FROM employees;,sql
Please reboot your system and try again.,non-sql
"SELECT email, created_at FROM products WHERE id = '99.99';",sql
Welcome to the world of tomorrow!,non-sql
DELETE FROM employees WHERE name = '3';,sql
Error 404: Page not found.,non-sql
SELECT COUNT(*) FROM users;,sql
Healthy eating leads to a healthy life.,non-sql
Learning Python is fun and rewarding.,non-sql
The mitochondrion is the powerhouse of the cell.,non-sql
"Once upon a time, there was a brave knight.",non-sql
Baking the perfect bread takes practice.,non-sql
"SELECT categories.created_at, users.price FROM categories JOIN users ON categories.created_at = users.price;",sql
Baking the perfect bread takes practice.,non-sql
Artificial intelligence is transforming industries.,non-sql
"SELECT price, created_at FROM categories ORDER BY name DESC;",sql
Follow the yellow brick road.,non-sql
"To be, or not to be, that is the question.",non-sql
Please reboot your system and try again.,non-sql
"SELECT name, email FROM categories ORDER BY email DESC;",sql
Artificial intelligence is transforming industries.,non-sql
"SELECT users.created_at, categories.email FROM users JOIN categories ON users.created_at = categories.email;",sql
"SELECT email, id FROM users WHERE department_id = '2024-01-01';",sql
UPDATE departments SET created_at = 'john@example.com' WHERE created_at = 'Admin';,sql
DELETE FROM orders WHERE email = '99.99';,sql
"SELECT products.department_id, categories.department_id FROM products JOIN categories ON products.department_id = categories.department_id;",sql
UPDATE employees SET department_id = '99.99' WHERE department_id = '1';,sql
The quick brown fox jumps over the lazy dog.,non-sql
Baking the perfect bread takes practice.,non-sql
"Buy one, get one free! Limited time offer.",non-sql
Baking the perfect bread takes practice.,non-sql
UPDATE products SET created_at = '3' WHERE created_at = 'Admin';,sql
"In a galaxy far, far away...",non-sql
The quick brown fox jumps over the lazy dog.,non-sql
The weather today is sunny with a chance of rain.,non-sql
SELECT COUNT(*) FROM users;,sql
"SELECT products.email, departments.id FROM products JOIN departments ON products.email = departments.id;",sql
Error 404: Page not found.,non-sql
Follow the yellow brick road.,non-sql
SELECT id FROM categories WHERE email = '1';,sql
Learning Python is fun and rewarding.,non-sql
SELECT name FROM users WHERE id = '3';,sql
"SELECT products.department_id, orders.id FROM products JOIN orders ON products.department_id = orders.id;",sql
Baking the perfect bread takes practice.,non-sql
Upcoming events include a concert and a festival.,non-sql
Upcoming events include a concert and a festival.,non-sql
DELETE FROM users WHERE created_at = 'John Doe';,sql
Baking the perfect bread takes practice.,non-sql
Upcoming events include a concert and a festival.,non-sql
Call me Ishmael.,non-sql
"Buy one, get one free! Limited time offer.",non-sql
"SELECT categories.name, orders.price FROM categories JOIN orders ON categories.name = orders.price;",sql
SELECT created_at FROM orders ORDER BY price DESC;,sql
SELECT * FROM orders;,sql
All that glitters is not gold.,non-sql
Access denied. Contact your administrator.,non-sql
Congratulations! You've won a free vacation.,non-sql
"To be, or not to be, that is the question.",non-sql
Call me Ishmael.,non-sql
"SELECT categories.price, users.price FROM categories JOIN users ON categories.price = users.price;",sql
SELECT COUNT(*) FROM users;,sql
UPDATE orders SET price = '99.99' WHERE price = 'Admin';,sql
Call me Ishmael.,non-sql
UPDATE departments SET name = '99.99' WHERE name = 'Completed';,sql
SELECT name FROM products ORDER BY name DESC;,sql
"SELECT price, name, department_id FROM employees ORDER BY created_at DESC;",sql
"To be, or not to be, that is the question.",non-sql
Welcome to the world of tomorrow!,non-sql
"SELECT categories.id, employees.price FROM categories JOIN employees ON categories.id = employees.price;",sql
"SELECT users.email, users.price FROM users JOIN users ON users.email = users.price;",sql
"Buy one, get one free! Limited time offer.",non-sql
Error 404: Page not found.,non-sql
"Once upon a time, there was a brave knight.",non-sql
DELETE FROM categories WHERE id = '99.99';,sql
DELETE FROM users WHERE email = '3';,sql
The mitochondrion is the powerhouse of the cell.,non-sql
DELETE FROM categories WHERE department_id = '3';,sql
"INSERT INTO orders (department_id, name) VALUES ('john@example.com', '1');",sql
DELETE FROM products WHERE name = '1';,sql
SELECT COUNT(*) FROM products;,sql
SELECT COUNT(*) FROM users;,sql
SELECT COUNT(*) FROM orders;,sql
UPDATE categories SET email = 'john@example.com' WHERE email = 'Completed';,sql
All that glitters is not gold.,non-sql
"Once upon a time, there was a brave knight.",non-sql
The quick brown fox jumps over the lazy dog.,non-sql
SELECT * FROM employees;,sql
"SELECT departments.id, users.created_at FROM departments JOIN users ON departments.id = users.created_at;",sql
SELECT * FROM categories;,sql
"Once upon a time, there was a brave knight.",non-sql
DELETE FROM users WHERE price = '3';,sql
"INSERT INTO employees (department_id, id) VALUES ('99.99', '3');",sql
SELECT * FROM departments;,sql
All that glitters is not gold.,non-sql
"SELECT users.name, employees.price FROM users JOIN employees ON users.name = employees.price;",sql
Learning Python is fun and rewarding.,non-sql
"INSERT INTO categories (department_id, price, id) VALUES ('3', '99.99', '3');",sql
Call me Ishmael.,non-sql
Error 404: Page not found.,non-sql
The mitochondrion is the powerhouse of the cell.,non-sql
All that glitters is not gold.,non-sql
All that glitters is not gold.,non-sql
Please reboot your system and try again.,non-sql
Welcome to the world of tomorrow!,non-sql
SELECT * FROM categories;,sql
"SELECT orders.email, products.name FROM orders JOIN products ON orders.email = products.name;",sql
"SELECT products.created_at, products.created_at FROM products JOIN products ON products.created_at = products.created_at;",sql
"SELECT products.id, departments.price FROM products JOIN departments ON products.id = departments.price;",sql
"INSERT INTO products (price, id, email) VALUES ('99.99', '1', '2024-01-01');",sql
The mitochondrion is the powerhouse of the cell.,non-sql
The mitochondrion is the powerhouse of the cell.,non-sql
Access denied. Contact your administrator.,non-sql
"SELECT departments.department_id, users.id FROM departments JOIN users ON departments.department_id = users.id;",sql
Baking the perfect bread takes practice.,non-sql
SELECT name FROM orders WHERE created_at = '1';,sql
SELECT * FROM orders;,sql
Welcome to the world of tomorrow!,non-sql
"Once upon a time, there was a brave knight.",non-sql
The quick brown fox jumps over the lazy dog.,non-sql
UPDATE categories SET price = 'john@example.com' WHERE price = 'Completed';,sql
"Once upon a time, there was a brave knight.",non-sql
INSERT INTO users (email) VALUES ('99.99');,sql
SELECT department_id FROM categories WHERE email = '2024-01-01';,sql
DELETE FROM products WHERE price = '2024-01-01';,sql
Artificial intelligence is transforming industries.,non-sql
SELECT email FROM users WHERE department_id = '3';,sql
Artificial intelligence is transforming industries.,non-sql
Baking the perfect bread takes practice.,non-sql
"SELECT id, email FROM departments ORDER BY price DESC;",sql
"SELECT departments.id, departments.name FROM departments JOIN departments ON departments.id = departments.name;",sql
SELECT name FROM users WHERE id = 'john@example.com';,sql
Baking the perfect bread takes practice.,non-sql
Access denied. Contact your administrator.,non-sql
All that glitters is not gold.,non-sql
The quick brown fox jumps over the lazy dog.,non-sql
All that glitters is not gold.,non-sql
Please reboot your system and try again.,non-sql
All that glitters is not gold.,non-sql
UPDATE employees SET created_at = '3' WHERE created_at = 'Admin';,sql
Baking the perfect bread takes practice.,non-sql
Welcome to the world of tomorrow!,non-sql
Healthy eating leads to a healthy life.,non-sql
"SELECT employees.created_at, departments.price FROM employees JOIN departments ON employees.created_at = departments.price;",sql
Please reboot your system and try again.,non-sql
Please reboot your system and try again.,non-sql
SELECT * FROM users;,sql
SELECT department_id FROM employees ORDER BY email DESC;,sql
DELETE FROM departments WHERE department_id = '2024-01-01';,sql
Upcoming events include a concert and a festival.,non-sql
The quick brown fox jumps over the lazy dog.,non-sql
"INSERT INTO products (id, email) VALUES ('1', 'john@example.com');",sql
UPDATE categories SET price = '3' WHERE price = '1';,sql
"SELECT created_at, name, email FROM orders WHERE email = '3';",sql
The quick brown fox jumps over the lazy dog.,non-sql
UPDATE departments SET price = '3' WHERE price = 'Admin';,sql
"Once upon a time, there was a brave knight.",non-sql
"Buy one, get one free! Limited time offer.",non-sql
The mitochondrion is the powerhouse of the cell.,non-sql
"In a galaxy far, far away...",non-sql
Congratulations! You've won a free vacation.,non-sql
"SELECT products.email, categories.name FROM products JOIN categories ON products.email = categories.name;",sql
"INSERT INTO products (created_at, price) VALUES ('2024-01-01', '2024-01-01');",sql
"SELECT price, name FROM products ORDER BY name DESC;",sql
All that glitters is not gold.,non-sql
"SELECT name, department_id FROM products WHERE id = '2024-01-01';",sql
"SELECT products.department_id, employees.id FROM products JOIN employees ON products.department_id = employees.id;",sql
UPDATE users SET price = '1' WHERE price = 'Active';,sql
"SELECT orders.department_id, employees.id FROM orders JOIN employees ON orders.department_id = employees.id;",sql
